Mission_ID;Mission_Month;Mission_Day;Mission_Year;Target_Longitude;Target_Latitude;Target_Country;Target_City;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Type;Target Industry;Target Priority;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;"Source ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mission ID;Mission_Date;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Country;Target City;Target Type;Target Industry;Target Priority;Target Latitude;Target Longitude;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;Source ID";Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61
25;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;B17;;;;;;;14129;;AIR FIELDS AND AIRDROMES;1;230;;;;;;;;;;;36;;;;;;;;;;36;;;"197559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
26;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;220;;;;;;;;;;;;;;;;;;;;;;;;"95430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
27;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;220;;;;;;;;;;;;;;;;;;;;;;;;"197536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
28;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;220;;;;;;;;;;;;;;;;;;;;;;;;"197556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
29;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;GB17;;;;;;;14129;;PORTS AND HARBORS;2;220;;;;;;;;;;;32;;;;;;;;;;32;;;"197526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
30;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;B17;;;;;;;14129;;PORTS AND HARBORS;2;220;;;;;;;;;;;32;;;;;;;;;;32;;;"197528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
31;8;15;1943;2.98;50.33;FRANCE;VITRY_EN_ARTOIS;ETO;;;;B17;;;;;;;45581;AIRDROME;AIR FIELDS AND AIRDROMES;1;220;;;;;;;;;;;48;;;;;;;;;;48;;;"95427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
32;8;15;1943;2.98;50.33;FRANCE;VITRY_EN_ARTOIS;ETO;;;;B17;;;;;;;45581;AIRDROME;AIR FIELDS AND AIRDROMES;1;220;;;;;;;;;;;48;;;;;;;;;;48;;;"197534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
33;8;15;1943;2.98;50.33;FRANCE;VITRY_EN_ARTOIS;ETO;;;;B17;;;;;;;45581;AIRDROME;AIR FIELDS AND AIRDROMES;1;220;;;;;;;;;;;48;;;;;;;;;;48;;;"197553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
34;8;15;1943;2.98;50.33;FRANCE;VITRY_EN_ARTOIS;ETO;;;;B17;;;;;;;45581;AIRDROME;AIR FIELDS AND AIRDROMES;1;213;;;;;;;;;;;25;;;;;;;;;;25;;;"95432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
